league,season,team,player,league_id,season_id,team_id,player_id,position,matches,minutes,goals,xg,np_goals,np_xg,assists,xa,shots,key_passes,yellow_cards,red_cards,xg_chain,xg_buildup
GER-Bundesliga,2526,Bayern Munich,Raphael Guerreiro,3,2025,117,3455,M S,11,419,3,1.8377615213394165,3,1.8377615213394165,2,1.3369814977049828,6,11,0,0,4.648583918809891,2.1957466155290604
GER-Bundesliga,2526,Bayern Munich,Sacha Boey,3,2025,117,7511,D S,9,458,0,0.39243242517113686,0,0.39243242517113686,0,0.1832207404077053,6,4,1,0,2.850109562277794,2.335632123053074
GER-Bundesliga,2526,Bayern Munich,Serge Gnabry,3,2025,117,993,M S,18,1056,6,5.16421727463603,6,5.16421727463603,5,4.228637865744531,38,18,1,0,13.137613371014595,6.556853532791138
GER-Bundesliga,2526,Bayern Munich,Tom Bischof,3,2025,117,10289,D M S,18,802,0,0.8629999831318855,0,0.8629999831318855,3,1.8816413469612598,19,16,2,0,7.134593706578016,4.998988542705774
GER-Bundesliga,2526,Bayern Munich,Wisdom Mike,3,2025,117,13421,S,4,18,0,0.10484713315963745,0,0.10484713315963745,0,0.0,2,0,0,0,0.35970722883939743,0.25486009567976
GER-Bundesliga,2526,Borussia Dortmund,Aaron Anselmino,3,2025,129,13460,D S,6,368,1,0.05440906062722206,1,0.05440906062722206,0,0.0,1,0,0,0,1.099787350744009,1.099787350744009
GER-Bundesliga,2526,Borussia Dortmund,Carney Chukwuemeka,3,2025,129,9356,F M S,20,626,2,2.304413612931967,2,2.304413612931967,0,0.5800747573375702,14,10,1,0,4.551490565761924,2.151603424921632
GER-Bundesliga,2526,Borussia Dortmund,Cole Campbell,3,2025,129,13131,S,1,10,0,0.1280488818883896,0,0.1280488818883896,0,0.14615820348262787,1,1,0,0,0.3452533185482025,0.07104624062776566
GER-Bundesliga,2526,Borussia Dortmund,Daniel Svensson,3,2025,129,13424,D M S,23,1778,1,1.4161215499043465,1,1.4161215499043465,1,2.5371229480952024,6,24,0,0,8.552477227523923,6.000463562086225
GER-Bundesliga,2526,Borussia Dortmund,Emre Can,3,2025,129,604,D S,8,578,3,2.363978619687259,0,0.09064858686178923,0,0.0,5,0,3,0,2.317890029400587,2.2402132116258144
GER-Bundesliga,2526,Borussia Dortmund,Fabio Silva,3,2025,129,8778,F M S,17,455,1,1.1991878990083933,1,1.1991878990083933,5,1.908367894589901,14,13,3,0,3.414043078199029,0.8230769708752632
GER-Bundesliga,2526,Borussia Dortmund,Felix Nmecha,3,2025,129,9202,M S,23,1756,2,1.919841418042779,2,1.919841418042779,3,1.6423423755913973,26,17,0,0,9.098502717912197,7.017462443560362
GER-Bundesliga,2526,Borussia Dortmund,Filippo Mané,3,2025,129,13017,D S,4,142,0,0.0,0,0.0,0,0.0,0,0,0,1,0.6807209551334381,0.6807209551334381
GER-Bundesliga,2526,Borussia Dortmund,Gregor Kobel,3,2025,129,5288,GK,23,2070,0,0.0,0,0.0,0,0.0,0,0,2,0,3.6245428137481213,3.6245428137481213
GER-Bundesliga,2526,Borussia Dortmund,Jobe Bellingham,3,2025,129,13887,M S,21,1006,0,0.627767626196146,0,0.627767626196146,1,0.43259834684431553,11,4,1,1,4.818192917853594,4.117326840758324
