league,season,game,league_id,season_id,game_id,date,home_team_id,away_team_id,home_team,away_team,away_team_code,home_team_code,home_goals,away_goals,home_xg,away_xg,is_result,has_data,url
GER-Bundesliga,2526,2025-10-31 Augsburg-Borussia Dortmund,3,2025,30296,2025-10-31 19:30:00,121,129,Augsburg,Borussia Dortmund,DOR,AUG,0,1,0.969501,0.588196,True,True,https://understat.com/match/30296
GER-Bundesliga,2526,2025-11-01 Bayern Munich-Bayer Leverkusen,3,2025,30297,2025-11-01 17:30:00,117,119,Bayern Munich,Bayer Leverkusen,LEV,BAY,3,0,2.28295,0.382774,True,True,https://understat.com/match/30297
GER-Bundesliga,2526,2025-11-01 FC Heidenheim-Eintracht Frankfurt,3,2025,30299,2025-11-01 14:30:00,280,132,FC Heidenheim,Eintracht Frankfurt,EIN,HEI,1,1,0.831882,1.22406,True,True,https://understat.com/match/30299
GER-Bundesliga,2526,2025-11-01 Mainz 05-Werder Bremen,3,2025,30300,2025-11-01 14:30:00,125,123,Mainz 05,Werder Bremen,WER,MAI,1,1,1.90161,0.880505,True,True,https://understat.com/match/30300
GER-Bundesliga,2526,2025-11-01 RasenBallsport Leipzig-VfB Stuttgart,3,2025,30301,2025-11-01 14:30:00,136,133,RasenBallsport Leipzig,VfB Stuttgart,STU,RBL,3,1,1.73471,1.0701,True,True,https://understat.com/match/30301
GER-Bundesliga,2526,2025-11-01 St. Pauli-Borussia M.Gladbach,3,2025,30302,2025-11-01 14:30:00,288,130,St. Pauli,Borussia M.Gladbach,BMG,SPA,0,4,0.804394,3.6262,True,True,https://understat.com/match/30302
GER-Bundesliga,2526,2025-11-01 Union Berlin-Freiburg,3,2025,30303,2025-11-01 14:30:00,240,135,Union Berlin,Freiburg,FRE,UNI,0,0,1.34842,1.16519,True,True,https://understat.com/match/30303
GER-Bundesliga,2526,2025-11-02 FC Cologne-Hamburger SV,3,2025,30298,2025-11-02 14:30:00,134,118,FC Cologne,Hamburger SV,HAM,COL,4,1,3.87376,1.19296,True,True,https://understat.com/match/30298
GER-Bundesliga,2526,2025-11-02 Wolfsburg-Hoffenheim,3,2025,30304,2025-11-02 16:30:00,131,120,Wolfsburg,Hoffenheim,HOF,WOL,2,3,1.40117,1.74291,True,True,https://understat.com/match/30304
GER-Bundesliga,2526,2025-11-07 Werder Bremen-Wolfsburg,3,2025,30313,2025-11-07 19:30:00,123,131,Werder Bremen,Wolfsburg,WOL,WER,2,1,1.69456,0.676326,True,True,https://understat.com/match/30313
GER-Bundesliga,2526,2025-11-08 Bayer Leverkusen-FC Heidenheim,3,2025,30305,2025-11-08 14:30:00,119,280,Bayer Leverkusen,FC Heidenheim,HEI,LEV,6,0,3.90142,0.063377,True,True,https://understat.com/match/30305
GER-Bundesliga,2526,2025-11-08 Borussia M.Gladbach-FC Cologne,3,2025,30306,2025-11-08 17:30:00,130,134,Borussia M.Gladbach,FC Cologne,COL,BMG,3,1,2.46206,2.15818,True,True,https://understat.com/match/30306
GER-Bundesliga,2526,2025-11-08 Hamburger SV-Borussia Dortmund,3,2025,30309,2025-11-08 14:30:00,118,129,Hamburger SV,Borussia Dortmund,DOR,HAM,1,1,0.419878,1.42582,True,True,https://understat.com/match/30309
GER-Bundesliga,2526,2025-11-08 Hoffenheim-RasenBallsport Leipzig,3,2025,30310,2025-11-08 14:30:00,120,136,Hoffenheim,RasenBallsport Leipzig,RBL,HOF,3,1,1.92349,1.56187,True,True,https://understat.com/match/30310
GER-Bundesliga,2526,2025-11-08 Union Berlin-Bayern Munich,3,2025,30312,2025-11-08 14:30:00,240,117,Union Berlin,Bayern Munich,BAY,UNI,2,2,1.02778,1.34246,True,True,https://understat.com/match/30312
